Osm_mOsm  	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
300.0000  	32.2227   	1116.5171 	12.8713   	0.0340    	29.3786   
300.0000  	29.3912   	1018.4046 	12.4827   	0.0269    	37.2086   
300.0000  	38.6022   	1337.5652 	13.6701   	0.0467    	21.4225   
300.0000  	56.9140   	1972.0686 	15.5587   	0.1525    	6.5576    
300.0000  	55.3393   	1917.5083 	15.4139   	0.1114    	8.9750    
300.0000  	30.1889   	1046.0460 	12.5946   	0.0317    	31.5861   
300.0000  	24.8975   	862.6970  	11.8110   	0.0223    	44.9330   
300.0000  	44.0900   	1527.7187 	14.2894   	0.0537    	18.6282   
300.0000  	25.4318   	881.2121  	11.8949   	0.0264    	37.8219   
300.0000  	34.9080   	1209.5633 	13.2193   	0.0365    	27.4102   
300.0000  	37.1469   	1287.1413 	13.4961   	0.0651    	15.3630   
300.0000  	68.4444   	2371.5973 	16.5455   	0.1802    	5.5506    
300.0000  	43.2701   	1499.3094 	14.2003   	0.0675    	14.8076   
300.0000  	25.4323   	881.2301  	11.8950   	0.0264    	37.8079   
300.0000  	29.7066   	1029.3344 	12.5272   	0.0283    	35.3633   
300.0000  	35.0929   	1215.9676 	13.2426   	0.0376    	26.6003   
300.0000  	28.6548   	992.8895  	12.3775   	0.0282    	35.4372   
300.0000  	32.6626   	1131.7604 	12.9296   	0.0339    	29.4779   
300.0000  	39.8918   	1382.2501 	13.8207   	0.0441    	22.6651   
300.0000  	86.6557   	3002.6213 	17.8992   	0.4274    	2.3399    
300.0000  	23.3502   	809.0849  	11.5611   	0.0213    	46.8794   
300.0000  	40.8493   	1415.4267 	13.9304   	0.0719    	13.9036   
300.0000  	54.8438   	1900.3387 	15.3678   	0.0823    	12.1544   
300.0000  	24.9256   	863.6730  	11.8154   	0.0340    	29.4410   
300.0000  	9.2559    	320.7158  	8.4926    	0.0136    	73.5740   
300.0000  	45.3306   	1570.7048 	14.4222   	0.0628    	15.9208   
300.0000  	40.3705   	1398.8369 	13.8757   	0.0673    	14.8501   
300.0000  	35.6614   	1235.6667 	13.3138   	0.0415    	24.1101   
300.0000  	40.9992   	1420.6219 	13.9474   	0.0634    	15.7800   
300.0000  	40.3535   	1398.2502 	13.8738   	0.0592    	16.9012   
300.0000  	22.3326   	773.8241  	11.3906   	0.0204    	49.0888   
300.0000  	27.0798   	938.3139  	12.1465   	0.0279    	35.8704   
300.0000  	27.6305   	957.3970  	12.2283   	0.0223    	44.7485   
300.0000  	74.6742   	2587.4599 	17.0330   	0.2482    	4.0291    
300.0000  	28.8087   	998.2198  	12.3996   	0.0242    	41.2970   
300.0000  	41.6115   	1441.8378 	14.0165   	0.0623    	16.0624   
300.0000  	52.8839   	1832.4281 	15.1825   	0.1534    	6.5178    
300.0000  	58.9999   	2044.3472 	15.7465   	0.1368    	7.3123    
300.0000  	24.0541   	833.4756  	11.6761   	0.0214    	46.6715   
300.0000  	27.7559   	961.7408  	12.2467   	0.0242    	41.3866   
300.0000  	25.6486   	888.7247  	11.9286   	0.0242    	41.3642   
300.0000  	29.3910   	1018.3995 	12.4826   	0.0252    	39.7273   
300.0000  	27.9558   	968.6701  	12.2761   	0.0266    	37.5751   
300.0000  	37.2734   	1291.5240 	13.5114   	0.0458    	21.8301   
300.0000  	34.3686   	1190.8720 	13.1509   	0.0461    	21.6689   
300.0000  	41.0725   	1423.1621 	13.9557   	0.0603    	16.5852   
300.0000  	29.2694   	1014.1836 	12.4654   	0.0277    	36.0398   
300.0000  	31.8058   	1102.0724 	12.8155   	0.0917    	10.9080   
300.0000  	47.0595   	1630.6120 	14.6033   	0.0694    	14.4057   
300.0000  	45.9020   	1590.5047 	14.4826   	0.0672    	14.8827   
300.0000  	25.3497   	878.3674  	11.8821   	0.0230    	43.5233   
300.0000  	50.8875   	1763.2512 	14.9890   	0.1233    	8.1076    
300.0000  	39.6507   	1373.8953 	13.7928   	0.0680    	14.7120   
300.0000  	66.8296   	2315.6442 	16.4144   	0.3859    	2.5917    
300.0000  	30.2564   	1048.3852 	12.6040   	0.0276    	36.2927   
300.0000  	60.1614   	2084.5909 	15.8492   	0.1570    	6.3692    
300.0000  	23.5857   	817.2428  	11.5998   	0.0241    	41.5670   
300.0000  	31.4388   	1089.3541 	12.7661   	0.0303    	32.9787   
300.0000  	24.6171   	852.9829  	11.7665   	0.0240    	41.7490   
300.0000  	36.0440   	1248.9245 	13.3612   	0.0374    	26.7659   
300.0000  	27.9421   	968.1948  	12.2741   	0.0306    	32.7276   
300.0000  	33.8524   	1172.9858 	13.0847   	0.0381    	26.2796   
300.0000  	43.7444   	1515.7445 	14.2520   	0.0762    	13.1274   
300.0000  	40.5461   	1404.9212 	13.8958   	0.0591    	16.9190   
300.0000  	45.4418   	1574.5584 	14.4340   	0.0867    	11.5360   
300.0000  	27.6883   	959.4002  	12.2368   	0.0242    	41.3866   
300.0000  	27.5569   	954.8459  	12.2174   	0.0266    	37.5428   
300.0000  	30.9480   	1072.3468 	12.6993   	0.0407    	24.5405   
300.0000  	34.6695   	1201.2974 	13.1892   	0.0331    	30.2343   
300.0000  	40.4501   	1401.5950 	13.8849   	0.0518    	19.2911   
300.0000  	24.5193   	849.5946  	11.7509   	0.0254    	39.3533   
300.0000  	44.4150   	1538.9789 	14.3245   	0.0573    	17.4451   
300.0000  	30.0266   	1040.4228 	12.5720   	0.0257    	38.9019   
300.0000  	34.0324   	1179.2230 	13.1079   	0.0330    	30.3214   
300.0000  	49.6371   	1719.9251 	14.8652   	0.1135    	8.8130    
300.0000  	36.3578   	1259.7981 	13.3999   	0.0495    	20.1855   
