Osmo_mOsm	Area_um2	DiameterA_um	Volume_um3	DiameterV_um	Deformation	
200	221.20061	16.782174	1824.1661	15.15963	0.11788839
200	198.1962	15.885567	1614.1922	14.554106	0.078309178
200	145.1936	13.596552	1016.2858	12.474	0.085314393
200	220.507	16.755842	1740.8871	14.925332	0.10347813
200	128.08481	12.770381	846.30451	11.735709	0.065010548
200	194.95941	15.755318	1634.5986	14.61518	0.079861462
200	190.68221	15.581532	1474.8753	14.122738	0.086727738
200	142.47701	13.468755	861.77715	11.806798	0.11846352
200	202.6468	16.062936	1655.0403	14.675852	0.081903994
200	141.8412	13.438669	968.25188	12.274296	0.088042259
200	144.7312	13.574884	999.32036	12.404198	0.083997071
200	118.43221	12.279762	769.75479	11.370632	0.062616944
200	126.29301	12.680743	830.63493	11.662828	0.074418485
200	131.6106	12.944953	888.29641	11.926685	0.083260477
200	135.25201	13.122813	955.059	12.218293	0.059331179
200	135.6566	13.142426	926.4414	12.095016	0.084735811
200	114.733	12.086463	691.30936	10.970454	0.062620223
200	193.28319	15.687441	1484.3393	14.152881	0.11139435
200	131.8418	12.956319	873.32158	11.859285	0.077220261
200	166.92639	14.578658	1252.5072	13.373976	0.076442599
200	164.49881	14.472263	1224.2682	13.272701	0.077412605
200	122.0158	12.464162	765.87573	11.351499	0.087228417
200	132.1308	12.970511	850.53032	11.75521	0.087029099
200	211.08562	16.393979	1817.9169	15.142298	0.080133915
200	187.85001	15.465383	1461.7862	14.080835	0.087586761
200	164.9612	14.492588	1217.757	13.249129	0.084029794
200	168.5448	14.649161	1185.1739	13.129892	0.10626245
200	176.29001	14.98197	1314.0864	13.589655	0.10453743
200	160.97301	14.316326	1169.1184	13.070332	0.087059915
200	191.60699	15.61927	1407.7543	13.905163	0.11194599
200	171.2614	14.766746	1253.9787	13.379211	0.085646093
200	185.71141	15.377097	1423.6969	13.957457	0.090269446
200	173.16881	14.84875	1250.5683	13.367071	0.092420936
200	148.66161	13.757974	1065.106	12.670626	0.073982
200	242.52881	17.572628	2162.2551	16.043635	0.096034348
200	173.28441	14.853705	1264.2132	13.415511	0.099246502
200	132.3042	12.979019	835.16858	11.684008	0.081431329
200	229.23482	17.084228	1918.8665	15.41755	0.11612225
200	172.1862	14.806562	1274.8015	13.452861	0.099195361
200	184.72881	15.336363	1501.3129	14.206623	0.071734786
200	158.95	14.226082	1180.9476	13.114266	0.09031719
200	152.881	13.95185	1058.3226	12.64367	0.097457528
200	146.7542	13.669427	1054.0317	12.626559	0.076993883
200	125.6572	12.648783	758.30543	11.313974	0.11244076
200	118.201	12.26777	731.90726	11.181133	0.067332804
200	133.46021	13.035598	880.20771	11.890374	0.084437788
200	195.653	15.783318	1646.6217	14.650926	0.073779523
200	194.9016	15.752981	1524.5955	14.279686	0.096805751
200	157.73621	14.171661	1133.2501	12.935276	0.081083417
200	170.33659	14.726822	1218.8007	13.252913	0.11640191
200	148.3726	13.744594	871.00209	11.848777	0.15663075
200	159.9904	14.272565	1151.3849	13.00391	0.083802581
200	109.6466	11.815515	697.4988	11.003097	0.061630607
200	138.9512	13.301059	935.45482	12.134114	0.080427349
200	161.43539	14.336873	1164.9173	13.054658	0.089075804
200	219.35101	16.711864	1695.5662	14.794673	0.1314975
200	169.64301	14.696809	1317.6034	13.601768	0.075501919
200	210.27641	16.362526	1599.4736	14.509735	0.11958677
200	273.22061	18.651415	2435.5039	16.692834	0.10654694
