
Contour in frame 261936 
( 204 , 25 )
( 204 , 24 )
( 203 , 24 )
( 202 , 24 )
( 201 , 24 )
( 200 , 24 )
( 199 , 23 )
( 198 , 23 )
( 197 , 23 )
( 196 , 23 )
( 195 , 23 )
( 194 , 23 )
( 193 , 23 )
( 192 , 23 )
( 191 , 23 )
( 190 , 23 )
( 189 , 23 )
( 188 , 23 )
( 187 , 23 )
( 186 , 24 )
( 185 , 24 )

Contour in frame 262097 
( 109 , 25 )
( 108 , 26 )
( 107 , 26 )
( 106 , 26 )
( 105 , 26 )
( 104 , 26 )
( 103 , 26 )
( 102 , 27 )
( 101 , 27 )
( 100 , 27 )
( 99 , 27 )
( 98 , 27 )
( 97 , 27 )
( 96 , 28 )
( 95 , 28 )
( 94 , 29 )
( 93 , 29 )
( 92 , 29 )
( 91 , 29 )
( 90 , 30 )
( 89 , 30 )
( 88 , 31 )
( 87 , 32 )
( 87 , 33 )
( 86 , 34 )
( 85 , 35 )
( 84 , 36 )
( 84 , 37 )
( 83 , 38 )
( 83 , 39 )
( 83 , 40 )
( 83 , 41 )
( 83 , 42 )
( 84 , 43 )
( 85 , 44 )
( 86 , 45 )
( 87 , 46 )
( 88 , 47 )
( 89 , 48 )
( 90 , 49 )
( 91 , 50 )
( 92 , 50 )
( 93 , 51 )
( 94 , 51 )
( 95 , 52 )
( 96 , 52 )
( 97 , 52 )
( 98 , 53 )
( 99 , 53 )
( 100 , 53 )
( 101 , 53 )
( 102 , 54 )
( 103 , 54 )
( 104 , 54 )
( 105 , 54 )
( 106 , 54 )
( 107 , 54 )
( 108 , 54 )
( 109 , 54 )
( 110 , 54 )
( 111 , 55 )
( 112 , 55 )
( 113 , 55 )
( 114 , 55 )
( 115 , 55 )
( 116 , 55 )
( 117 , 55 )
( 118 , 55 )
( 119 , 55 )
( 120 , 55 )
( 121 , 55 )
( 122 , 55 )
( 123 , 55 )
( 124 , 55 )
( 125 , 55 )
( 126 , 55 )
( 127 , 55 )
( 128 , 54 )
( 129 , 55 )
( 130 , 54 )
( 131 , 54 )
( 131 , 53 )
( 131 , 52 )
( 131 , 51 )
( 131 , 50 )
( 131 , 49 )
( 130 , 48 )
( 130 , 47 )
( 130 , 46 )
( 131 , 45 )
( 132 , 44 )
( 132 , 43 )
( 131 , 42 )
( 131 , 41 )
( 131 , 40 )
( 132 , 39 )
( 132 , 38 )
( 132 , 37 )
( 132 , 36 )
( 132 , 35 )
( 132 , 34 )
( 132 , 33 )
( 132 , 32 )
( 132 , 31 )
( 132 , 30 )
( 132 , 29 )
( 132 , 28 )
( 132 , 27 )
( 132 , 26 )
( 131 , 26 )
( 130 , 26 )
( 129 , 26 )
( 128 , 25 )
( 127 , 25 )
( 126 , 25 )
( 125 , 25 )
( 124 , 25 )
( 123 , 25 )
( 122 , 26 )
( 121 , 25 )
