Osmo_mOsm	DiameterA_um	Deformation
200	16.3878	2.2444
200	17.1669	2.4942
200	13.4703	2.614
200	14.5779	3.6809
200	19.8197	2.995
200	16.575	2.8801
200	13.2362	2.3634
200	15.8646	2.0847
200	9.0074	1.498
200	16.1777	3
200	12.6666	2.2034
200	12.7129	2.0142
200	15.0664	2.664
200	17.0691	2.4178
200	15.1213	3.1635
200	18.471	2.9859
200	17.3852	2.9536
200	14.5093	2.3161
200	14.0511	3.0691
200	15.3041	3.547
200	14.5298	2.8575
200	16.9016	2.5366
200	16.2029	2.3866
200	16.2884	3.4788
200	14.3441	2.3324
200	16.2286	3.0599
200	17.1266	2.9577
200	17.7724	2.5522
200	13.524	2.6571
200	15.5071	2.3785
200	18.3518	2.643
200	18.0535	2.7734
200	13.5994	3.081
200	20.588	2.4304
200	13.5932	2.3494
200	16.5455	2.8924
200	16.9681	3.2827
200	14.6735	2.8233
200	13.3842	2.512
200	16.595	2.726
200	13.4323	2.4893
200	17.6765	2.931
200	15.9988	2.8225
200	15.9984	2.5901
200	18.3986	2.7423
200	17.5292	2.5855
200	13.4156	3.3333
200	17.1129	2.3568
200	16.0411	2.5845
200	18.1689	3.2423
200	16.3577	3.4377
200	15.1775	2.7309
200	17.7839	2.8753
200	17.0912	2.984
200	14.3013	3.0985
200	16.9317	2.5443
200	16.3798	2.9086
200	14.1674	2.4893
200	14.7896	2.5477
200	15.9041	3.6984
200	14.1097	2.5777
200	12.3575	2.2241
200	17.1212	2.8156
200	13.2687	2.0108
200	16.1534	2.5691
200	15.2851	2.238
200	17.1732	3.0981
200	15.9318	3.0054
200	15.9346	3.2691
200	17.2423	3.0409
200	14.1614	2.6289
200	16.4021	2.8333
200	13.3993	2.2834
200	16.8183	2.8692
200	18.8695	3.0235
200	14.3743	2.7904
200	16.7422	2.2579
200	16.889	2.8427
200	17.1514	2.8233
200	17.2153	3.0325
200	16.0614	2.346
200	17.104	2.7216
200	15.6282	3.52
200	18.5649	3.5056
200	17.1116	2.9814
200	16.2805	2.6603
200	15.1464	2.4662
200	13.2556	2.7194
200	14.4493	2.5333
200	15.2086	2.2742
200	17.2521	3.4917
200	17.077	2.6196
200	22.823	2.7769
200	16.7075	4.0673
200	15.4305	2.8311
200	17.2225	3.7784
200	14.1663	2.4457
200	16.562	3.4377
200	16.9629	2.8519
200	16.9469	3.8585
200	16.5596	2.8347
200	13.0997	2.6633
200	17.0943	3.2236
200	16.5929	2.1658
200	13.1791	2.0593
200	14.6245	2.8867
200	19.6274	3.45
200	16.511	3.4484
200	16.2471	3.2853
200	16.062	2.9183
200	19.9927	2.2819
200	13.7351	3.3356
200	16.9317	2.7684
200	17.1862	2.9737
200	17.3877	2.7696
200	17.8083	2.8791
200	16.5129	3.4861
200	15.4778	3.1285
200	15.9702	2.4282
200	13.8934	2.6879
200	16.8059	3.6071
200	17.1806	3.3122
200	16.3046	2.8184
200	15.9329	2.6577
200	15.049	2.8809
200	16.5694	3.2948
200	18.537	2.7875
200	15.4609	3.6594
200	16.9064	2.7289
200	16.4971	3.0716
200	16.4355	2.8889
200	14.6537	2.6528
200	14.4717	2.3233
200	12.3776	1.4768
200	16.8687	3.1509
200	13.9848	2.6103
200	14.994	3.4397
200	16.301	2.5663
200	18.9805	3.8148
200	14.9317	4.4178
200	14.3022	2.8199
200	14.5773	2.5099
200	16.5798	2.9532
200	17.0346	2.9545
200	15.2326	2.3651
200	16.3548	3.0198
200	13.5837	2.7284
200	16.6308	3.1864
200	15.0414	2.7316
200	14.3338	2.9497
200	13.8114	2.5815
200	14.4415	2.9729
200	16.9543	2.9305
200	13.9932	2.3725
200	13.1798	2.6794
200	14.3902	2.2603
200	14.4706	3.3614
200	18.7494	3.1598
200	16.8133	3.1101
200	16.8339	2.9619
200	16.9879	2.7057
200	15.4645	2.9271
200	15.5505	2.7602
200	15.7321	3.0871
200	14.3866	2.4108
200	16.6696	3.2659
200	16.4252	3.0944
200	13.3702	2.5569
200	14.6189	3.0245
200	14.99	3.0409
200	16.7012	3.1898
200	15.8846	3.0198
200	15.0218	2.3783
200	15.3975	2.6496
200	16.1497	2.7121
200	16.8556	3.2881
200	17.9781	3.2044
200	15.1277	2.8833
200	15.3328	3.1215
200	15.256	3.5127
200	14.6255	2.854
200	16.2344	2.9718
200	15.8402	2.2533
200	14.6054	2.8861
200	19.0519	3.615
200	13.8807	3.2484
200	17.2018	3.6445
200	16.6127	4.1824
200	16.0459	2.9606
200	12.9293	3.0772
200	15.4419	2.624
200	16.5343	3.0637
200	15.7208	3.393
200	14.3328	2.6948
200	17.0464	2.6785
200	17.0418	3.3158
200	14.3029	3.0692
200	14.1941	3
200	16.6563	2.7514
200	13.8259	2.7923
200	17.3679	2.4894
200	16.151	3.4676
200	17.1425	2.5745
200	14.2603	2.4472
200	13.3319	2.5409
200	15.7963	2.5531
200	14.2277	2.1199
200	13.8019	2.3106
200	15.52	3.0856
200	13.2771	2.7246
200	16.5833	3.2861
200	17.9368	2.7045
200	15.603	2.8616
200	13.4775	2.4831
200	16.9605	3.2358
200	16.36	3.2884
200	17.0364	2.5393
200	17.3251	3.2479
200	16.4554	3.449
200	15.9668	3
200	16.0648	2.988
200	17.0505	2.9
200	16.9585	4.4598
200	16.768	3.8875
200	17.9485	3.0397
200	16.7955	3.8402
200	14.1963	3.3445
200	16.4442	2.8011
200	14.7336	2.4596
200	16.811	3.3155
200	15.0463	2.9941
200	12.7731	2.2943
200	15.7683	3.0479
200	13.3745	2.4804
200	15.7662	3.3188
200	13.8741	2.4123
200	16.2702	3.5489
200	16.7469	2.9887
200	16.2607	3.2006
200	16.9776	2.8804
200	16.9857	2.8043
200	14.0835	2.5166
200	13.4959	2.984
200	15.8306	3.4202
200	13.2138	2.6776
200	16.4216	3.6258
200	16.4001	2.6975
200	16.198	2.3018
200	15.2043	2.9635
200	15.469	2.8451
200	14.9266	2.6236
200	16.5946	2.4562
200	14.9738	2.564
200	14.131	2.4816
200	14.2366	2.4429
200	15.4455	3.6599
200	17.3568	3.5152
200	16.5187	2.8646
200	14.4778	2.6078
200	15.7665	2.4835
200	16.8964	2.8883
200	15.4244	2.7956
200	17.7284	3.5053
200	15.1336	3.1771
200	15.0637	2.8257
200	15.3749	2.3832
200	17.5736	3.5013
200	16.849	3.279
200	17.5627	3.0049
200	13.9666	2.4136
200	12.9648	2.2316
200	17.0779	3.3582
200	15.8976	2.8366
200	15.05	3.0142
200	13.9639	2.4674
200	16.987	3.7579
200	16.3175	3.149
200	15.2218	3.4469
200	15.3428	2.3246
200	12.6225	2.2261
200	15.7436	2.93
200	14.652	3.6648
200	13.6639	2.7218
200	18.0869	3.0705
200	14.4889	3.178
200	15.9553	3.376
200	10.3074	1.9108
200	15.7902	2.9803
200	13.6918	3.0127
200	14.8958	2.6572
200	16.3541	3.5212
200	13.3187	2.75
200	17.1736	2.9098
200	14.8607	2.6232
200	18.6191	2.8791
200	16.3267	3.5258
200	14.1852	2.4185
200	13.1518	2.7799
200	16.3563	3.3719
200	16.7568	2.9197
200	10.4022	1.6547
200	15.2785	3.4351
200	9.4052	2.5054
200	16.077	2.9239
200	16.2925	2.9858
200	13.7715	2.2797
200	14.5263	2.4419
200	15.8014	2.664
200	14.6645	2.7649
200	16.0276	3.3068
200	16.0146	2.4878
200	13.2248	3.0311
200	16.5672	2.8099
200	17.2209	3.7458
200	18.2414	3.3844
200	14.2891	2.8033
200	14.0024	2.3081
200	13.516	3.0197
200	13.014	2.1168
200	13.8016	2.6211
200	14.642	2.4807
200	16.8002	4.1268
200	16.863	3.315
200	13.8501	2.9329
200	16.8314	2.5151
200	17.31	2.5272
200	14.3862	2.5817
200	15.9696	2.8997
200	16.7395	2.8376
200	14.7427	2.4484
200	14.3212	3.6752
200	16.0714	3.0552
200	15.7197	2.6114
200	14.7906	2.4959
200	18.2429	3.782
200	16.1161	2.8883
200	15.1821	2.6503
200	16.8766	2.6436
200	14.027	2.8778
200	14.5909	2.5289
200	14.4943	2.158
200	14.7247	2.9235
200	16.8941	2.71
200	16.4874	3.2191
200	13.9063	2.4051
200	14.7251	3.3177
200	15.1174	3.0682
200	14.3454	2.5416
200	14.8211	3.2194
200	14.4231	2.7522
200	14.6915	3.049
200	11.3943	2.0615
200	16.4342	3.4222
200	16.9218	3.3183
200	14.7456	2.5994
200	15.5288	2.9726
200	15.7368	4.1565
200	16.6501	3.0244
200	17.0839	3.0299
200	15.8805	2.6759
200	16.2587	2.5958
200	13.337	2.3541
200	16.7268	4.6734
200	18.0511	2.5606
200	16.4221	2.6676
200	17.5842	3.1223
200	14.08	2.622
200	17.1713	2.8531
200	14.2396	2.4326
200	13.6726	2.7267
200	16.2977	2.4919
200	13.5998	3.2118
200	14.7834	3.0648
200	16.0049	2.7302
200	16.0335	2.3488
200	14.4396	2.1362
200	16.9841	3.5571
200	17.7759	2.8883
200	16.8584	3.1274
200	16.0931	2.5619
200	12.8016	2.2535
200	13.7349	2.9096
200	13.9699	3.1887
200	15.0058	2.8705
200	15.8383	2.6649
200	13.9817	2.6869
200	17.0521	3.704
200	14.2048	2.8632
200	18.7638	3.8581
200	15.455	2.9745
200	14.4026	2.3994
200	15.817	2.3073
200	17.3211	3.5321
200	15.4087	2.4452
200	14.5467	2.5444
200	14.5998	2.9028
200	17.5029	3.8611
200	14.7569	2.9405
200	15.8077	3.9014
200	12.4402	1.8931
200	12.7535	2.544
200	14.4781	2.3223
200	15.823	3.4605
200	17.1079	2.28
200	15.6533	2.5516
200	14.2204	2.2266
200	15.0736	3.4075
200	12.7917	2.4212
200	14.9946	2.5026
200	15.299	3.0306
200	18.0761	3.3944
200	14.6995	3.0884
200	13.0724	2.349
200	13.2988	2.7036
200	15.8468	2.7602
200	15.3735	2.6567
200	16.5784	3.0267
200	16.6585	3.5539
200	14.5475	2.9083
200	14.9207	2.7747
200	15.8745	4.5649
200	16.798	2.5624
200	17.3225	2.5488
200	14.5507	2.5295
200	17.4458	2.7919
200	15.719	3.1433
200	14.8724	2.6254
200	14.5324	2.9433
200	17.3341	2.6868
200	13.3987	2.8403
200	13.8584	2.785
200	15.3337	3.369
200	16.679	2.9185
200	16.6101	2.5682
200	16.5672	3.7139
200	16.2369	2.261
200	17.9924	3.156
200	17.2656	3.4823
200	14.8803	2.9575
200	16.9238	3.2834
200	14.6295	2.225
200	16.7846	3.4119
200	18.0823	3.8528
200	13.9917	2.442
200	15.8934	2.7112
200	16.2162	3.3192
200	17.2319	2.8542
200	16.561	2.4245
200	14.2284	3.5488
200	15.3135	2.7089
200	15.1046	2.813
200	15.8696	3.5908
200	14.0955	2.7584
200	12.5244	1.6456
200	14.5973	2.8094
200	16.9648	3.3368
200	15.0358	2.9519
200	16.7781	3.0648
200	12.979	2.1042
200	17.2152	3.2278
200	16.8933	2.4823
200	16.576	3.136
200	15.1083	2.4856
200	14.503	2.8677
200	15.281	3.2802
200	17.1916	2.3302
200	18.8164	3.0094
200	14.2817	2.5921
200	16.2027	2.9037
200	15.7225	3.0283
200	15.7274	2.4332
200	17.0097	2.8202
200	16.9303	3.0373
200	17.9989	3.2513
200	14.9838	2.8
200	15.7329	2.4481
200	15.4434	2.985
200	15.9251	3.4813
200	15.9808	3.5407
200	13.1394	2.0478
200	8.9127	1.373
200	14.2237	2.6025
200	13.5019	2.7156
200	17.1523	2.5721
200	16.024	3.4192
200	18.552	2.7476
200	14.0167	2.3158
