Conc_ugperml	DiameterA_um	Deformation
0	17.2671	2.5976
0	16.7066	2.779
0	13.1572	2.3514
0	9.8113	2.0817
0	15.0239	2.3389
0	11.9911	2.2444
0	15.1992	1.8777
0	15.4242	2.3672
0	13.642	2.5444
0	14.6192	1.9064
0	15.0311	2.3963
0	13.8273	2.0681
0	14.127	1.9106
0	16.2342	2.3551
0	13.4045	1.822
0	14.8769	1.9482
0	18.8678	1.998
0	15.7802	2.3351
0	14.974	1.9115
0	13.981	2.0167
0	11.3261	2.0949
0	14.2116	2.6016
0	12.434	2.2283
0	14.5887	2.828
0	13.6967	2.1944
0	18.454	3.4398
0	15.7949	2.1189
0	15.9508	2.2513
0	12.8827	2.0395
0	12.6517	2.7052
0	13.7109	2.0085
0	15.1934	2.0872
0	9.0073	2.0786
0	12.6436	2.0142
0	13.0613	2.1742
0	15.4917	2.6612
0	16.0141	2.4589
0	14.9454	2.1165
0	14.003	2.169
0	15.042	2.3803
0	11.9074	1.7632
0	15.7023	2.21
0	13.6482	3.3871
0	13.7908	2.022
0	13.2326	2.4094
0	13.5072	1.782
0	15.4512	2.8385
0	14.2308	2.3831
0	12.5059	1.9032
0	17.4844	2.1057
0	12.2962	2.5111
0	14.2582	1.97
0	12.1025	2.0281
0	13.5903	2.0423
0	14.249	2.0105
0	14.165	1.7466
0	12.7978	2.4612
0	15.4792	2.0517
0	12.4833	2.1667
0	14.9764	2.2446
0	14.2178	1.8965
0	11.048	1.6811
0	16.5051	2.6576
0	13.0531	1.9051
0	14.2656	1.9889
0	13.5468	2.1962
0	12.0606	2.2608
0	11.7326	2.0436
0	19.2455	2.864
0	15.1474	2.3932
0	14.9608	2.1435
0	18.1073	2.9612
0	9.4265	2.0495
0	14.7018	2.3117
0	14.616	2.0409
0	14.4228	2.1015
0	14.2788	1.986
0	17.5012	2.2929
0	14.9266	2.2153
0	16.5015	2.199
0	13.5956	1.883
0	13.6338	1.9719
0	14.7615	2.3305
0	15.1352	2.0376
0	15.8028	2.6567
0	18.6183	2.4378
0	15.6633	2.1875
0	12.2373	1.9745
0	13.6785	3.0508
0	16.5872	2.0955
0	13.4354	1.8605
0	13.2633	2.1195
0	15.1944	2.0599
0	13.455	2
0	14.2562	2.2534
0	11.5855	1.7368
0	15.4385	2.1273
0	14.607	2.0314
0	13.8671	2.0085
0	13.92	2.1856
0	15.1537	2.2857
0	12.1323	2.0215
0	16.7728	2.5482
0	15.2201	2.3136
0	14.5092	2.1219
0	15.2393	2.1608
0	12.8388	2.0085
0	14.0218	2.2345
0	15.8874	2.1655
0	15.8735	2.2629
0	15.7564	2.4238
0	14.2369	2.3186
0	12.3684	1.9925
0	14.5005	2.017
0	15.0827	2.1442
0	18.3092	2.7035
0	12.9766	2.7889
0	13.6835	1.8305
0	13.7943	2.2247
0	13.6488	2.0709
0	14.6145	2.3848
0	14.1149	2.4279
0	14.7217	2.4725
0	14.6514	2.3351
0	14.3975	2.1344
0	14.6042	2.0741
0	12.866	2.1356
0	16.1377	2.4932
0	15.8702	2.7314
0	14.3088	2.1578
0	16.2858	2.3555
0	15.7528	1.9717
0	15.9973	2.3708
0	13.8773	2.6615
0	13.9794	3.2469
0	13.1792	2.1867
0	9.9028	2.511
0	14.5423	2.136
0	14.1133	2.3424
0	11.159	1.5257
0	15.417	2.253
0	15.4522	2.2779
0	13.0014	2.0479
0	14.8858	2.0052
0	13.7602	2.0028
0	13.3954	1.9695
0	14.3385	2.1499
0	12.8556	1.7507
0	13.9936	1.8338
0	14.4071	1.9174
0	15.0898	1.9649
0	20.1827	2.0384
0	12.1234	1.9611
0	12.8706	1.9801
0	14.6467	2.1003
0	14.7906	1.9717
0	14.4795	2.221
0	15.2133	1.941
0	11.5034	1.6751
0	12.3373	1.9831
0	15.5974	2.0918
0	14.3173	2.1319
0	14.1818	2.1284
0	14.1735	1.9504
0	14.23	2.4195
0	10.7932	1.6031
0	19.9035	3.0135
0	12.3596	2.273
0	11.5362	1.7515
0	12.7781	2.2781
0	15.1282	2.0103
0	11.6362	1.614
0	15.5758	2.1635
0	13.6572	1.88
0	14.3643	2.2324
0	15.1222	1.9341
0	14.8806	2.8369
0	15.5757	2.267
0	14.3903	2.175
0	14.3333	1.9588
0	13.8253	2.0312
0	14.5705	2.1695
0	15.2935	2.1736
0	7.8412	1.9385
0	13.6452	2.6806
0	14.7455	2.2153
0	17.9511	2.0778
0	15.1253	2.1199
0	17.6468	2.2565
0	14.5598	2.9812
0	12.6103	2.3782
0	14.8211	3.1385
0	13.0738	2.1011
0	13.5961	2.3624
0	12.0534	1.9586
0	12.8024	2.3678
0	14.4079	2.0765
0	14.1716	2.0813
0	11.5357	1.4387
0	14.5786	2.5815
0	14.1119	2.0535
0	17.0991	2.4093
0	16.652	2.1263
0	16.8392	2.5361
0	14.9993	2.0716
0	16.6699	2.3462
0	12.5082	2.4591
0	14.0294	1.9972
0	17.4837	2.2042
0	13.0934	2.3453
0	15.8683	2.6348
0	13.1347	1.9521
0	13.6666	2.3446
0	16.4334	2.3651
0	13.2678	2.1493
0	16.2586	2.3901
0	14.3772	2.1305
0	16.02	2.5035
0	12.5824	2.2153
0	12.8042	1.9346
0	12.4204	2.2947
0	16.0814	2.6017
0	14.7902	1.9892
0	13.3639	2.0366
0	15.4313	2.1966
0	12.7693	2.3173
0	15.4053	2.188
0	16.3068	2.0051
0	15.837	2.1117
0	14.2986	2.4722
0	14.0011	2.2669
