Conc_ugperml	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
0.0000    	71.7272   	2427.2500 	16.6740   	0.1327    	7.5343    
0.0000    	27.2047   	920.6080  	12.0696   	0.0224    	44.5526   
0.0000    	26.3368   	891.2379  	11.9398   	0.0212    	47.1984   
0.0000    	25.8265   	873.9698  	11.8622   	0.0195    	51.2313   
0.0000    	37.6061   	1272.5917 	13.4451   	0.0332    	30.1298   
0.0000    	38.4699   	1301.8205 	13.5472   	0.0460    	21.7508   
0.0000    	29.0167   	981.9248  	12.3318   	0.0246    	40.6263   
0.0000    	25.2380   	854.0541  	11.7714   	0.0191    	52.3384   
0.0000    	30.2461   	1023.5283 	12.5036   	0.0227    	44.1083   
0.0000    	31.6959   	1072.5878 	12.7002   	0.0284    	35.2367   
0.0000    	46.2059   	1563.6092 	14.4005   	0.1021    	9.7944    
0.0000    	62.4102   	2111.9616 	15.9183   	0.1212    	8.2487    
0.0000    	45.3575   	1534.8966 	14.3118   	0.0873    	11.4542   
0.0000    	28.3277   	958.6106  	12.2334   	0.0220    	45.5568   
0.0000    	42.7378   	1446.2461 	14.0308   	0.0595    	16.8026   
0.0000    	28.6206   	968.5209  	12.2754   	0.0253    	39.5574   
0.0000    	30.2925   	1025.0970 	12.5099   	0.0237    	42.1934   
0.0000    	27.9852   	947.0203  	12.1839   	0.0185    	54.0821   
0.0000    	32.5777   	1102.4284 	12.8169   	0.0271    	36.9027   
0.0000    	33.8297   	1144.7982 	12.9791   	0.0327    	30.5950   
0.0000    	32.0087   	1083.1733 	12.7419   	0.0222    	45.0258   
0.0000    	24.3584   	824.2881  	11.6330   	0.0219    	45.6454   
0.0000    	37.5433   	1270.4641 	13.4376   	0.0312    	32.0203   
0.0000    	45.3340   	1534.1022 	14.3093   	0.0513    	19.4919   
0.0000    	32.4446   	1097.9266 	12.7995   	0.0265    	37.7424   
0.0000    	24.5937   	832.2497  	11.6704   	0.0205    	48.8609   
0.0000    	27.8292   	941.7393  	12.1612   	0.0229    	43.6727   
0.0000    	24.8353   	840.4272  	11.7085   	0.0222    	44.9926   
0.0000    	84.9002   	2873.0219 	17.6379   	0.3250    	3.0769    
0.0000    	36.9483   	1250.3301 	13.3662   	0.0481    	20.7694   
0.0000    	36.8440   	1246.8015 	13.3536   	0.0369    	27.0746   
0.0000    	37.7577   	1277.7200 	13.4631   	0.0372    	26.8933   
0.0000    	27.5614   	932.6768  	12.1221   	0.0215    	46.5647   
0.0000    	44.4442   	1503.9927 	14.2151   	0.0473    	21.1376   
0.0000    	41.7437   	1412.6075 	13.9211   	0.0476    	20.9966   
0.0000    	24.8121   	839.6411  	11.7048   	0.0190    	52.6908   
0.0000    	34.2334   	1158.4577 	13.0305   	0.0266    	37.5474   
0.0000    	32.0720   	1085.3155 	12.7503   	0.0272    	36.8136   
0.0000    	39.2379   	1327.8089 	13.6368   	0.0373    	26.7918   
0.0000    	27.5197   	931.2670  	12.1160   	0.0232    	43.0384   
0.0000    	12.5514   	424.7382  	9.3263    	0.0109    	91.9786   
0.0000    	41.9673   	1420.1737 	13.9459   	0.0452    	22.1229   
0.0000    	25.7916   	872.7863  	11.8569   	0.0201    	49.7936   
0.0000    	51.1646   	1731.4100 	14.8982   	0.0794    	12.5875   
0.0000    	29.4120   	995.3015  	12.3875   	0.0235    	42.4990   
0.0000    	42.9173   	1452.3215 	14.0504   	0.0455    	21.9589   
0.0000    	31.1355   	1053.6239 	12.6249   	0.0249    	40.1190   
0.0000    	50.4137   	1705.9987 	14.8250   	0.0830    	12.0531   
0.0000    	44.1000   	1492.3424 	14.1783   	0.0267    	37.4690   
0.0000    	43.0403   	1456.4833 	14.0638   	0.0428    	23.3608   
0.0000    	51.5680   	1745.0601 	14.9372   	0.1042    	9.5931    
0.0000    	26.5558   	898.6488  	11.9728   	0.0188    	53.1589   
0.0000    	27.6746   	936.5097  	12.1387   	0.0210    	47.6182   
0.0000    	33.7231   	1141.1891 	12.9654   	0.0303    	33.0537   
0.0000    	44.5085   	1506.1687 	14.2219   	0.0543    	18.4202   
0.0000    	39.4425   	1334.7349 	13.6605   	0.0434    	23.0677   
0.0000    	39.0840   	1322.6025 	13.6189   	0.0480    	20.8275   
0.0000    	40.1726   	1359.4407 	13.7442   	0.0496    	20.1802   
0.0000    	24.1241   	816.3591  	11.5956   	0.0191    	52.3923   
0.0000    	33.0603   	1118.7619 	12.8799   	0.0252    	39.7325   
0.0000    	33.3775   	1129.4950 	12.9210   	0.0311    	32.1789   
0.0000    	35.4747   	1200.4627 	13.1861   	0.0305    	32.8227   
0.0000    	34.0891   	1153.5763 	13.0122   	0.0277    	36.1123   
0.0000    	31.0348   	1050.2169 	12.6113   	0.0442    	22.6415   
0.0000    	38.9631   	1318.5112 	13.6049   	0.0447    	22.3710   
0.0000    	39.4946   	1336.4982 	13.6665   	0.0418    	23.9155   
0.0000    	37.6237   	1273.1847 	13.4472   	0.0391    	25.5856   
0.0000    	32.8220   	1110.6963 	12.8489   	0.0259    	38.5919   
0.0000    	28.2803   	957.0058  	12.2266   	0.0191    	52.3653   
0.0000    	39.1059   	1323.3442 	13.6215   	0.0475    	21.0487   
0.0000    	49.3974   	1671.6088 	14.7247   	0.0818    	12.2191   
0.0000    	37.0257   	1252.9506 	13.3756   	0.0493    	20.2821   
0.0000    	30.1759   	1021.1530 	12.4939   	0.0264    	37.8595   
0.0000    	91.6416   	3101.1504 	18.0929   	0.4383    	2.2816    
0.0000    	50.4968   	1708.8120 	14.8331   	0.0651    	15.3498   
0.0000    	33.7384   	1141.7080 	12.9674   	0.0286    	34.9502   
0.0000    	35.6718   	1207.1330 	13.2105   	0.0429    	23.3019   
0.0000    	28.9729   	980.4417  	12.3256   	0.0228    	43.9495   
0.0000    	32.0697   	1085.2380 	12.7500   	0.0301    	33.2446   
0.0000    	36.9818   	1251.4630 	13.3703   	0.0325    	30.7367   
0.0000    	22.2778   	753.8804  	11.2919   	0.0182    	55.0577   
0.0000    	41.1121   	1391.2331 	13.8506   	0.0479    	20.8659   
0.0000    	20.3382   	688.2440  	10.9542   	0.0165    	60.6248   
0.0000    	46.9747   	1589.6232 	14.4799   	0.0619    	16.1670   
0.0000    	6.9184    	234.1178  	7.6468    	0.0126    	79.3101   
0.0000    	44.7058   	1512.8428 	14.2429   	0.0534    	18.7368   
0.0000    	32.5854   	1102.6911 	12.8179   	0.0261    	38.3495   
0.0000    	31.6786   	1072.0055 	12.6979   	0.0272    	36.7604   
0.0000    	47.4294   	1605.0111 	14.5265   	0.0679    	14.7191   
0.0000    	38.7049   	1309.7754 	13.5748   	0.0374    	26.7214   
0.0000    	32.4703   	1098.7964 	12.8028   	0.0289    	34.5545   
0.0000    	26.3628   	892.1166  	11.9438   	0.0193    	51.8846   
0.0000    	33.1865   	1123.0295 	12.8963   	0.0261    	38.2773   
0.0000    	35.3434   	1196.0200 	13.1698   	0.0450    	22.2211   
0.0000    	45.6420   	1544.5244 	14.3416   	0.0622    	16.0759   
0.0000    	32.1577   	1088.2165 	12.7616   	0.0276    	36.2066   
0.0000    	26.8306   	907.9472  	12.0140   	0.0189    	53.0019   
0.0000    	37.5879   	1271.9738 	13.4429   	0.0427    	23.4451   
0.0000    	48.4412   	1639.2512 	14.6290   	0.0344    	29.1041   
0.0000    	50.1378   	1696.6616 	14.7979   	0.0730    	13.6971   
0.0000    	35.0616   	1186.4860 	13.1347   	0.0297    	33.6440   
0.0000    	31.5058   	1066.1560 	12.6748   	0.0233    	42.9173   
0.0000    	35.4299   	1198.9493 	13.1806   	0.0338    	29.5522   
0.0000    	38.4533   	1301.2606 	13.5453   	0.0364    	27.4595   
0.0000    	5.9983    	202.9815  	7.2915    	0.0236    	42.4222   
0.0000    	38.0471   	1287.5151 	13.4974   	0.0378    	26.4527   
0.0000    	19.9999   	676.7968  	10.8931   	0.0163    	61.2453   
0.0000    	42.1123   	1425.0797 	13.9620   	0.0480    	20.8218   
0.0000    	31.0449   	1050.5583 	12.6127   	0.0229    	43.6665   
0.0000    	48.3355   	1635.6722 	14.6184   	0.2075    	4.8181    
0.0000    	36.8053   	1245.4928 	13.3490   	0.0408    	24.4893   
0.0000    	30.0188   	1015.8352 	12.4722   	0.0255    	39.2673   
0.0000    	3.2828    	111.0904  	5.9643    	0.0094    	106.3363  
